127.0.0.1 - - [05/Jul/2023:11:32:51 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [05/Jul/2023:11:32:52 +0530] "GET /Student_Result_Mangement_System/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jul/2023:11:32:52 +0530] "GET /Student_Result_Mangement_System/apj%20sir1.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jul/2023:11:32:52 +0530] "GET /Student_Result_Mangement_System/tsec.jfif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jul/2023:11:32:52 +0530] "GET /Student_Result_Mangement_System/assets/css/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jul/2023:11:32:52 +0530] "GET /Student_Result_Mangement_System/assets/css/font-awesome.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jul/2023:11:32:52 +0530] "GET /Student_Result_Mangement_System/assets/js/skel.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jul/2023:11:32:52 +0530] "GET /Student_Result_Mangement_System/assets/js/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jul/2023:11:32:52 +0530] "GET /Student_Result_Mangement_System/assets/js/util.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jul/2023:11:32:52 +0530] "GET /Student_Result_Mangement_System/assets/js/main.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jul/2023:11:32:52 +0530] "GET /Student_Result_Mangement_System/images/home1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jul/2023:11:32:52 +0530] "GET /Student_Result_Mangement_System/assets/fonts/fontawesome-webfont.woff2?v=4.6.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jul/2023:11:32:52 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [05/Jul/2023:11:32:54 +0530] "GET /Student_Result_Mangement_System/adminLogin.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jul/2023:11:32:54 +0530] "GET /Student_Result_Mangement_System/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jul/2023:11:32:55 +0530] "GET /Student_Result_Mangement_System/user.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jul/2023:11:33:01 +0530] "POST /Student_Result_Mangement_System/adminLoginAction.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Jul/2023:11:33:02 +0530] "GET /Student_Result_Mangement_System/adminHome.jsp HTTP/1.1" 200 39310
0:0:0:0:0:0:0:1 - - [05/Jul/2023:11:33:02 +0530] "GET /Student_Result_Mangement_System/logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jul/2023:11:33:02 +0530] "GET /Student_Result_Mangement_System/dgi.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jul/2023:11:33:02 +0530] "GET /Student_Result_Mangement_System/apj%20sir.png HTTP/1.1" 304 -
